order_number,order_date,ship_date,customer_id,sales_channel,currency_code,warehouse_code,region_id,product_id,order_quantity,unit_price,total_unit_cost,total_revenue
SO - 000225,1/1/2021,1/13/2021,28,Trade Supply,NZD,RPT503,71,11,6,2499.1,1824.343,14994.6
SO - 0003378,1/1/2021,6/1/2021,7,Logistics Partner,NZD,RPT503,54,7,11,2351.7,1269.918,25868.7
SO - 0003901,1/1/2021,5/1/2021,12,Trade Supply,NZD,RPT503,58,13,5,1728.6,1019.874,8643.0
SO - 0005126,1/1/2021,1/17/2021,5,Trade Supply,USD,RPT503,29,7,6,978.2,684.74,5869.2
SO - 0005614,1/1/2021,7/1/2021,27,Global Sales,NZD,RPT503,31,6,7,2338.3,1028.852,16368.1
SO - 0005781,1/1/2021,1/15/2021,44,Trade Supply,GBP,RPT503,78,9,8,2291.4,1260.27,18331.2
SO - 0002911,2/1/2021,1/15/2021,37,Trade Supply,EUR,RPT503,2,2,6,911.2,665.176,5467.2
SO - 0003527,2/1/2021,1/19/2021,8,Trade Supply,USD,RPT503,77,9,11,1701.8,1429.512,18719.8
SO - 0004792,2/1/2021,1/13/2021,14,Trade Supply,NZD,RPT503,82,11,6,167.5,83.75,1005.0
SO - 0005414,2/1/2021,5/1/2021,47,Trade Supply,USD,RPT503,71,7,7,1835.8,1413.566,12850.6
SO - 0005609,2/1/2021,10/1/2021,22,Logistics Partner,NZD,RPT503,5,1,7,3966.4,1903.872,27764.8
SO - 0006308,2/1/2021,1/19/2021,39,Trade Supply,USD,RPT503,42,1,8,214.4,124.352,1715.2
SO - 0006534,2/1/2021,11/1/2021,46,Logistics Partner,NZD,RPT503,87,2,9,5152.3,3709.656,46370.7
SO - 0007139,2/1/2021,9/1/2021,45,Trade Supply,NZD,RPT503,80,1,6,2418.7,1910.773,14512.2
SO - 000450,3/1/2021,1/19/2021,20,Trade Supply,EUR,RPT503,38,7,7,1078.7,906.108,7550.9
SO - 000848,3/1/2021,12/1/2021,36,Trade Supply,NZD,RPT503,97,1,9,2217.7,1596.744,19959.3
SO - 0001724,3/1/2021,1/19/2021,30,Trade Supply,AUD,RPT503,88,9,11,1038.5,633.485,11423.5
SO - 0002078,3/1/2021,1/14/2021,5,Trade Supply,GBP,RPT503,6,2,5,3999.9,3279.918,19999.5
SO - 0002795,3/1/2021,9/1/2021,11,Trade Supply,NZD,RPT503,95,5,12,3872.6,2517.19,46471.2
SO - 0003775,3/1/2021,1/15/2021,5,Logistics Partner,GBP,RPT503,37,2,12,891.1,516.838,10693.2
SO - 0004247,3/1/2021,1/14/2021,14,Global Sales,NZD,RPT503,53,1,6,3879.3,2056.029,23275.8
SO - 0004386,3/1/2021,8/1/2021,39,Logistics Partner,AUD,RPT503,77,7,9,1045.2,418.08,9406.8
SO - 0004592,3/1/2021,6/1/2021,17,Trade Supply,NZD,RPT503,6,2,12,5406.9,3676.692,64882.8
SO - 0005716,3/1/2021,8/1/2021,11,Trade Supply,NZD,RPT503,60,2,12,234.5,189.945,2814.0
SO - 0005751,3/1/2021,1/21/2021,29,Trade Supply,NZD,RPT503,47,2,5,1943.0,1651.55,9715.0
SO - 0006419,3/1/2021,1/18/2021,41,Logistics Partner,USD,RPT503,30,2,10,1058.6,666.918,10586.0
SO - 0006790,3/1/2021,1/13/2021,33,Trade Supply,USD,RPT503,63,1,10,2532.6,1696.842,25326.0
SO - 0006962,3/1/2021,10/1/2021,34,Logistics Partner,GBP,RPT503,65,11,9,2720.2,1251.292,24481.8
SO - 0007587,3/1/2021,6/1/2021,5,Global Sales,USD,RPT503,27,6,10,2391.9,1363.383,23919.0
SO - 0001259,4/1/2021,11/1/2021,50,Logistics Partner,AUD,RPT503,28,1,8,3825.7,2601.476,30605.6
SO - 0002564,4/1/2021,1/13/2021,43,Trade Supply,AUD,RPT503,83,7,12,167.5,103.85,2010.0
SO - 0002922,4/1/2021,1/15/2021,44,Trade Supply,EUR,RPT503,83,1,6,247.9,123.95,1487.4
SO - 0002932,4/1/2021,12/1/2021,29,Trade Supply,GBP,RPT503,59,1,5,1112.2,544.978,5561.0
SO - 0004007,4/1/2021,1/13/2021,39,Trade Supply,NZD,RPT503,99,11,11,1011.7,586.786,11128.7
SO - 0004967,4/1/2021,9/1/2021,29,Logistics Partner,AUD,RPT503,92,8,12,3845.8,2230.564,46149.6
SO - 0005147,4/1/2021,1/18/2021,48,Global Sales,NZD,RPT503,23,11,6,1065.3,777.669,6391.8
SO - 0005582,4/1/2021,11/1/2021,17,Trade Supply,AUD,RPT503,70,8,7,2539.3,1625.152,17775.1
SO - 0007099,4/1/2021,1/20/2021,42,Logistics Partner,USD,RPT503,99,5,7,3899.4,1598.754,27295.8
SO - 000513,5/1/2021,1/15/2021,35,Logistics Partner,USD,RPT503,25,5,11,3946.3,2012.613,43409.3
SO - 0001219,5/1/2021,1/20/2021,20,Trade Supply,NZD,RPT503,54,7,5,180.9,130.248,904.5
SO - 0001802,5/1/2021,10/1/2021,9,Logistics Partner,USD,RPT503,11,13,9,1159.1,533.186,10431.9
SO - 0003588,5/1/2021,1/15/2021,26,Global Sales,NZD,RPT503,100,7,7,214.4,137.216,1500.8
SO - 0005064,5/1/2021,11/1/2021,31,Logistics Partner,USD,RPT503,68,11,8,2626.4,1365.728,21011.2
SO - 0005739,5/1/2021,1/20/2021,37,Trade Supply,GBP,RPT503,2,7,5,1132.3,600.119,5661.5
SO - 0001627,6/1/2021,9/1/2021,47,Logistics Partner,NZD,RPT503,58,14,10,3959.7,3009.372,39597.0
